customer_id,rate,amount,purpose,period,cus_age,gender,education_level,marital_status,has_children,living_situation,total_experience,income,job_sector,DTI,APR,ccr_tot_mounth_amt,ccr_payed_loan_tot_amt,ccr_act_loan_tot_rest_amt,loan_status
3683,20.506514612342382,4835.783205690295,Personal,11,35,Female,Educated,Single,Yes,Dependent,137,1063.261168318732,Public,31.798406884917025,19.605674579689502,63.30150888231266,0.0,168.9282442854415,0
11464,19.46815033938044,5043.251854776172,Personal,8,43,Male,Educated,Single,Yes,Independent,184,165.7236889868579,Public,41.7707567288328,30.610585274769964,46.914918156086685,12824.12159352206,1168.7631670088867,1
2170,19.82577318625892,4110.494869496159,Maintenance,17,39,Female,Unknown/Other,Single,No,Dependent,0,87.18531428986978,Private,35.62023855316667,19.827670686248187,9.626134722480828,5874.631143881916,345.9214639637483,1
10330,19.112240771130168,3977.846540074994,Personal,31,33,Female,Unknown/Other,Single,No,Dependent,65,727.1326012753174,Private,31.287542113203077,21.56629864799924,0.0,6897.890318351192,0.0,0
14564,19.995923246010847,3864.3561996863928,Maintenance,12,26,Male,Unknown/Other,Married,Yes,Dependent,107,1507.5086946262772,Private,27.80338289047797,21.22990844209305,16.979558363410447,2100.455986090595,0.0,0
9309,19.94963783589479,3755.8416703599823,Personal,31,58,Male,Unknown/Other,Single,No,Dependent,0,505.1810840059639,Private,40.53679716272754,21.42870703966144,22.94757049115075,14319.764638055192,0.0,1
15976,16.49512040492133,5137.654258461397,Maintenance,27,41,Female,Educated,Single,Yes,Dependent,208,180.95939578265563,Public,23.56117517027151,23.40288801072356,38.92599552928896,1724.7717925419406,1601.66354559749,0
10720,26.438676251099608,,Maintenance,7,39,Male,Educated,Single,Yes,Independent,22,713.8836361673377,Private,37.475900516909775,26.18923868056676,18.778389258753982,1783.262521622573,229.637109973801,1
811,29.28312093593116,998.428595640399,Personal,46,39,Female,Unknown/Other,Married,Yes,Dependent,0,842.710930318605,,36.04505040667353,24.287391969088585,149.03162338007962,11272.387623478253,0.0,1
4595,17.6661290185945,3033.177217936924,Personal,26,39,Male,Unknown/Other,,No,Dependent,0,559.7219566868673,Public,28.615587406035992,20.529088700031632,64.53775920470483,4645.512631916229,125.10150500973327,0
5476,20.23145297299797,497.2792663787882,Maintenance,23,39,Male,Educated,Married,Yes,Dependent,54,568.9966418161881,Private,22.925786340861727,19.74378987186196,33.3658389805758,1146.281482671298,604.7052209973064,0
11698,20.35807984142435,2717.093508878019,Personal,29,54,Female,Educated,Married,No,Dependent,173,699.0236864662311,Private,29.500920559169963,19.60791522827614,37.1908627323489,6568.697743436152,1062.8511271857706,0
3483,17.688895588535644,2739.772953535047,Personal,25,18,Female,Educated,Married,Yes,Independent,130,795.1360184144771,Public,32.38784621831275,21.128774269495175,9.47657257905917,5012.40094691116,986.1051733135504,0
16368,16.02707953676256,3732.397217553034,Maintenance,23,50,Male,Unknown/Other,,No,Independent,178,381.9822755287565,Private,34.430438454649384,21.581042598877275,97.34993308255012,4288.329312279813,101.22216482968292,0
9180,19.03468976881225,1082.1879239496277,Maintenance,15,33,Male,Educated,Married,Yes,Dependent,156,73.0,Private,46.78741336921379,23.16112027905597,142.06611967049977,3670.122457396291,0.0,1
11814,16.713247786517407,3391.584174465127,Personal,22,37,Male,Educated,Married,Yes,Dependent,226,615.8462944053388,Private,29.163126892699992,19.58558394879047,37.52172973658666,4042.539434326216,828.7782544379215,0
5324,17.335896536351935,3341.212586279094,Personal,9,36,Male,Unknown/Other,Married,Yes,Independent,168,174.95196753478905,Private,45.17789363735508,21.105687500700643,26.89384644498349,5667.034006418568,0.0,1
14698,17.7107406488144,1780.844852088498,Personal,37,49,Female,Unknown/Other,Married,No,Dependent,230,551.2145611211214,Private,32.993850897079064,18.58610520147128,20.62746947248141,7687.955068177683,0.0,0
16910,21.70310554387744,,Personal,25,67,Female,Educated,Single,Yes,Independent,189,624.5493862266103,Private,46.58723209081436,27.60724210358071,0.0,0.0,98.0210056773368,1
9597,25.5488336248578,5170.566358720647,Personal,31,39,Male,Educated,Single,No,Dependent,0,404.8761788841763,Private,41.83596030559461,23.637693748435797,173.24296680612804,2553.694639990514,600.6127114963363,1
8806,22.54358402933213,686.6837595690549,Personal,25,39,Male,Educated,Married,No,Independent,0,118.39193672845325,Private,35.69654729038929,30.14246698159942,93.55109569922932,772.9038165556362,1958.7872340699053,1
15380,22.25171033392962,3680.351673433777,Maintenance,18,38,Male,Unknown/Other,Single,No,Dependent,0,862.8366199878371,Private,30.21854376016572,23.145865619550214,35.96923506100797,13693.759578476936,0.0,0
12692,20.1841784925918,1689.6505989219554,Maintenance,22,36,Female,Educated,Married,Yes,Independent,326,379.16842139687,Public,31.434684122063867,22.03625044560508,105.03444226286636,10534.932714449104,2068.149880482868,0
3029,17.395779403787806,1086.2832076527368,Maintenance,30,39,Female,Educated,,Yes,Dependent,139,475.2425299188642,,31.197674870149623,24.01782149429548,8.772072400939216,8429.031786999414,275.61447186558445,0
17155,17.654817287968616,6045.782433915919,Personal,15,43,Female,Educated,Single,No,Independent,154,522.585978185133,Public,22.88740316552681,21.31306763522046,34.38172981413264,10106.019316335443,0.0,0
4682,16.61935468855134,5706.683636867599,Personal,41,33,Male,Unknown/Other,Single,No,Dependent,55,835.6916365884722,Private,22.6459982263957,21.317145422159985,15.88958879351978,5036.782383623195,1852.5754466077367,0
8400,18.8456259633645,1707.6438265468405,Personal,22,28,Male,Unknown/Other,Single,Yes,Dependent,109,559.193058084643,Public,30.78180849171327,19.86605496617684,7.334725027142269,12574.35251525038,0.0,0
5607,18.70487014224532,1382.0725305046203,Maintenance,18,31,Female,Educated,Single,Yes,Independent,0,1186.6772369001442,Public,36.35583639679374,33.17833454212747,142.43855857933227,3212.374754210563,2544.2241834021333,1
3043,16.976922471130894,300.0,Maintenance,13,29,Female,Unknown/Other,Single,Yes,Dependent,141,388.2359902829246,Private,29.659822983177943,19.317562814995757,43.68186554538374,0.0,788.1492962923188,0
9227,21.71106428429288,2550.303664075179,Maintenance,29,49,Male,Unknown/Other,Single,Yes,Independent,0,575.9953254262687,Private,36.23117172212592,20.338957198954592,0.0,668.824428426657,0.0,1
15783,16.887850617235465,888.0089013988795,Personal,8,29,Male,Educated,Single,No,Dependent,235,861.5064130091446,Public,28.802394814202916,20.439741153710035,0.0,56.81410044567747,693.6443816592343,0
9823,20.06818632308661,2799.7470621623697,Personal,22,38,Female,Educated,Single,Yes,Dependent,12,903.2689206405482,Public,21.48918751724557,21.287464502345216,39.22452447005272,5934.325857096184,428.3417017340566,0
9838,18.277995516072757,4501.509994609961,Personal,29,18,Female,Unknown/Other,Married,No,Dependent,81,472.2583600635294,Private,24.30413769632704,19.13529836127582,93.41095247970736,7308.204245969928,197.1990304548932,0
